Title,Link,Location,Cost,Date,Image
Soweto Gospel Choir,https://www.todocanada.ca/city/vancouver/event/soweto-gospel-choir-2/,Queen Elizabeth Theatre 630 Hamilton St Vancouver,Price: $29 to $95,November 12 2022 ,https://www.todocanada.ca/wp-content/uploads/Soweto-Gospel-Choir-1-250x165.jpg
Gogol Bordello,https://www.todocanada.ca/city/vancouver/event/gogol-bordello/,Commodore Ballroom 868 Granville St. Vancouver,Price: $49.5+fees,November 13 2022 ,https://www.todocanada.ca/wp-content/uploads/imported-258070-250x165.jpg
Hallelujah Junction,https://www.todocanada.ca/city/vancouver/event/hallelujah-junction/, Orpheum Annex 823 Seymour Street Vancouver,Price: $21.70 to $38.15,November 13 2022 ,https://www.todocanada.ca/wp-content/uploads/Hallelujah-Junction-250x165.jpg
City Music Talent Gala,https://www.todocanada.ca/city/vancouver/event/city-music-talent-gala/,Vancouver Playhouse 600 Hamilton St Vancouver,Price: $19 & up,November 13 2022 ,https://www.todocanada.ca/wp-content/uploads/City-Music-Talent-Gala-250x165.jpg
Foil Arms & Hog,https://www.todocanada.ca/city/vancouver/event/foil-arms-hog/,Vancouver Playhouse 600 Block Hamilton St. Vancouver,Price: $48.75,November 12 2022 ,https://www.todocanada.ca/wp-content/uploads/imported-258068-250x165.jpg
Annual Louis Riel Day Celebration,https://www.todocanada.ca/city/vancouver/event/annual-louis-riel-day-celebration/,Orpheum Annex 823 Seymour Street Vancouver,Price: $18 to $28,November 12 2022 ,https://www.todocanada.ca/wp-content/uploads/Louis-Riel-Day-Celebration-250x165.jpg
Wittenberg,https://www.todocanada.ca/city/vancouver/event/united-players-yvr/,Jericho Arts Centre Discovery Street Vancouver,Price:  $15 to $30,November 11 2022 To December 4 2022,https://www.todocanada.ca/wp-content/uploads/Wittenberg-250x165.jpg
The Sound of Music,https://www.todocanada.ca/city/vancouver/event/sound-music-yvr/,Stanley Industrial Alliance Stage Granville Street Vancouver,Price: $43 & up,November 10 2022 To December 24 2022,https://www.todocanada.ca/wp-content/uploads/the-sound-of-music-2-250x165.jpg
The Cave,https://www.todocanada.ca/city/vancouver/event/the-cave-2/,Historic Theatre 1895 Venables Street. Vancouver,Price: $29 & up,November 10 2022 To November 20 2022,https://www.todocanada.ca/wp-content/uploads/Untitled-design-2-4-250x165.jpg
The Frontliners,https://www.todocanada.ca/city/vancouver/event/the-frontliners/,Waterfront Theatre 1412 Cartwright St Vancouver,Price: 25,November 10 2022 To November 13 2022,https://www.todocanada.ca/wp-content/uploads/TheFrontliners-Promo1_72DPI_Easy-Resize.com_-250x165.jpg
DanceHouse presents Alexander Ekman’s Play,https://www.todocanada.ca/city/vancouver/event/dancehouse-presents-alexander-ekmans-play/,Online Vancouver,Price: $16.14,November 7 2022 To November 27 2022,https://www.todocanada.ca/wp-content/uploads/Ann_Ray___Opera_national_de_Paris-ann-ray-4dec-5166-PLAY-Ekman-Ballet-de-l-Opera-de-Paris-c-Ann-Ray-2-250x165.jpg
The Importance of Being Earnest,https://www.todocanada.ca/city/vancouver/event/metro-theatre-yvr/,Metro Theatre Vancouver 1370 SW Marine Drive Vancouver,Price: $31.50 to $34.50,November 5 2022 To November 20 2022,https://www.todocanada.ca/wp-content/uploads/Metro_Earnest-250x165.jpg
Seventeen,https://www.todocanada.ca/city/vancouver/event/seventenn-theatre/,Pal Studio Theatre 581 Cardero Street Vancouver,Price: $30 to $34,November 3 2022 To November 20 2022,https://www.todocanada.ca/wp-content/uploads/Seventeen-250x165.png
Mom’s the Word: Talkin’ Turkey,https://www.todocanada.ca/city/vancouver/event/xmas-turkey/,Granville Island Stage 1585 Johnston Street Vancouver,Price: $39 & up,October 27 2022 To January 1 2023,https://www.todocanada.ca/wp-content/uploads/TURKEY-2-250x165.jpg
Theatresports™ at The Improv,https://www.todocanada.ca/city/vancouver/event/theatresports-at-the-improv/,The Improv Centre 1502 Duranleau Street Vancouver,Price: $24.50 - $31.50,July 15 2022 To December 24 2022,https://www.todocanada.ca/wp-content/uploads/theatresports-instagram-250x165.jpg
Hidden Wonders Speakeasy Magic Experience,https://www.todocanada.ca/city/vancouver/event/hidden-wonders-speakeasy-magic-experience-2/,Hidden Wonders Showroom Clarkson Street New Westminster,Price: 50-130,May 19 2022 To December 18 2022,https://www.todocanada.ca/wp-content/uploads/ToDo-Ad-3-2022-250x165.jpg
Abbotsford Canucks vs. Henderson Silver Knights,https://www.todocanada.ca/city/vancouver/event/abbotsford-canucks-vs-henderson-silver-knights/,Abbotsford Centre 33800 King Rd Abbotsford,Price: $16 - $130+fees,November 10 2022 ,https://www.todocanada.ca/wp-content/uploads/imported-258053-250x165.jpg
Abbotsford Canucks vs. Henderson Silver Knights,https://www.todocanada.ca/city/vancouver/event/abbotsford-canucks-vs-henderson-silver-knights-2/,Abbotsford Centre 33800 King Rd Abbotsford,Price: $16 - $130+fees,November 12 2022 ,https://www.todocanada.ca/wp-content/uploads/imported-258064-250x165.jpg
2022 Christmas Markets and Holiday Craft Fairs in Vancouver,https://www.todocanada.ca/christmas-markets-craft-fairs-vancouver/,Not Specified,Not Specified,Not Specified,https://www.todocanada.ca/wp-content/uploads/imported-87274-250x165.jpg
The Franchise Canada Show,https://www.todocanada.ca/city/vancouver/event/the-franchisecanada-show/,Vancouver Convention Centre 1055 Canada Place Vancouver,Price: Free,November 12 2022 To November 13 2022,https://www.todocanada.ca/wp-content/uploads/Franchise-show-250x165.png
The Holiday Bazaar,https://www.todocanada.ca/city/vancouver/event/the-holiday-bazaar/,Pacific Arts Market - Art Gallery - Vancouver 1448 West Broadway Vancouver,Price: Free,November 12 2022 ,https://www.todocanada.ca/wp-content/uploads/Holiday-Bazaar-at-Pacific-Arts-Market-1-250x165.jpg
Vancouver Etsy Co Holiday Pop Up Market,https://www.todocanada.ca/city/vancouver/event/the-etsy-market-vancouver-holiday-virtual-market/,The Pipe Shop 115 Victory Ship Way North Vancouver,Price: $5,November 12 2022 To November 13 2022,https://www.todocanada.ca/wp-content/uploads/Vancouver-1-250x165.jpg
Wilderness & Eagle Viewing Float,https://www.todocanada.ca/city/vancouver/event/wilderness-eagle-viewing-float/,Squamish Rafting Company 40446 Government Rd Squamish,Price: $89.99 to $129.99,November 12 2022 To January 31 2023,https://www.todocanada.ca/wp-content/uploads/b7-3-250x165.jpg
Archbishop Carney Regional Secondary School Christmas Craft fair,https://www.todocanada.ca/city/vancouver/event/archbishop-carney-regional-secondary-school-christmas-craft-fair/,Archbishop Carney Regional Secondary School 1335 Dominion Ave Port Coquitlam,Price: $5.00,November 12 2022 To November 13 2022,https://www.todocanada.ca/wp-content/uploads/image0-11-250x165.jpeg
The Olde Farmhouse Vintage Market,https://www.todocanada.ca/city/vancouver/event/the-olde-farmhouse-vintage-market/,Tradex in Abbotsford 1190 Cornell St Abbotsford,Price: $8-$10,November 12 2022 To November 13 2022,https://www.todocanada.ca/wp-content/uploads/TOF-Xmas-FB-Event-Cover-250x165.jpg
Warehouse Sample Sale,https://www.todocanada.ca/city/vancouver/event/warehouse-sample-sale/,Harris Barn 4140 Arthur Dr Delta,Price: FREE,November 11 2022 To November 13 2022,https://www.todocanada.ca/wp-content/uploads/Copy-of-DCF-SAMPLE-SALE-FLYER-2-2-250x165.png
99¢ Tacos for Soccer Game Days,https://www.todocanada.ca/city/vancouver/event/99-tacos-for-soccer-game-days/,Quesada Burritos & Tacos Locations Canada,Not Specified,November 11 2022 To December 1 2022,https://www.todocanada.ca/wp-content/uploads/Untitled-design-6-250x165.png
Winter Treasures Artisan Market,https://www.todocanada.ca/city/vancouver/event/winter-treasures-artisan-market/,PoMoArts (Port Moody Arts Centre) 2425 St Johns Street Port Moody,Price: Free,November 10 2022 To December 22 2022,https://www.todocanada.ca/wp-content/uploads/ex-9-WT-2022_Instagram-Post-250x165.jpg
Herschel Warehouse Sale,https://www.todocanada.ca/city/vancouver/event/herschel-warehouse-sale/,Vancouver Convention Centre 999 Canada Place Vancouver,Price: Free,November 10 2022 To November 13 2022,https://www.todocanada.ca/wp-content/uploads/herschel-warehouse-sale_vancouver-convention-centre-250x165.jpg
Estee Lauder Warehouse Sale,https://www.todocanada.ca/city/vancouver/event/estee-lauder-warehouse-sale/,Vancouver Convention Centre 999 Canada Place Vancouver,Price: Free,November 10 2022 To November 13 2022,https://www.todocanada.ca/wp-content/uploads/Estee-Lauder-Warehouse-Sale-250x165.jpg
Circle Craft Christmas Market,https://www.todocanada.ca/city/vancouver/event/circle-craft-christmas-market/,Vancouver Convention Centre 1055 Canada Place Vancouver,Price: $7.50 to $15,November 9 2022 To November 13 2022,https://www.todocanada.ca/wp-content/uploads/circlecraft-250x165.jpg
South African Film Festival Canada 2022,https://www.todocanada.ca/city/vancouver/event/south-african-film-festival-canada-2022/,Online Canada,Price: $10 - $135,November 4 2022 To November 14 2022,https://www.todocanada.ca/wp-content/uploads/SAFF-Virtual-250x165.png
Beauty And The Beast Cocktail Experience: Vancouver,https://www.todocanada.ca/city/vancouver/event/beauty-and-the-beast-cocktail-experience-vancouver-2/,Vancouver Alpen Club 4875 Victoria Dr Vancouver,Price: $45.00 ,November 4 2022 To December 18 2022,https://www.todocanada.ca/wp-content/uploads/Beauty-and-the-Beast-7-250x165.jpg
Bill Reid Gallery presents Keeping the Song Alive,https://www.todocanada.ca/city/vancouver/event/bill-reid-gallery-presents-keeping-the-song-alive/,Bill Reid Gallery 639 Hornby St Vancouver,Price: $13,November 2 2022 To March 19 2023,https://www.todocanada.ca/wp-content/uploads/2.-Mrs.-Assu-Chief-Billy-Assu-and-Ida-Halpern--250x165.jpg
Winterlust,https://www.todocanada.ca/city/vancouver/event/winterlust/,H Tasting Lounge 1601 Bayshore Drive Vancouver,Price: $200 & up,October 30 2022 To December 30 2022,https://www.todocanada.ca/wp-content/uploads/winterlust-250x165.jpg
True to Place: stímetstexw tel xéltel,https://www.todocanada.ca/city/vancouver/event/true-to-place-stmetstexw-tel-xltel/,Bill Reid Gallery of Northwest Coast Art  639 Hornby St Vancouver,Price: $13-$30,June 15 2022 To March 23 2023,https://www.todocanada.ca/wp-content/uploads/Steve-Smith_ATimeForLoveVessel-web1_1024x1024-250x165.jpg
Xicanx: Dreamers + Changemakers / Soñadores + creadores del cambio,https://www.todocanada.ca/city/vancouver/event/xicanx-dreamers-changemakers-soadores-creadores-del-cambio/,The Museum of Anthropology 6393 NW Marine Dr Vancouver,Price: $15,May 12 2022 To January 1 2023,https://www.todocanada.ca/wp-content/uploads/Tres-Marias_La-Pachuca_©Judith-F.-Baca-copy-250x165.jpg
Chinatown Walk Talk & Dim Sum,https://www.todocanada.ca/city/vancouver/event/chinatown-walk-talk-dim-sum/,Chinatown Vancouver,Price: $125,March 1 2022 To December 31 2022,https://www.todocanada.ca/wp-content/uploads/9c.-DSC_0111-250x165.jpg
Vancouver Behind-the-Scenes Brewery Tour,https://www.todocanada.ca/city/vancouver/event/vancouver-behind-the-scenes-brewery-tour/,901 W Cordova St Vancouver,Price: $97.29,January 15 2022 To January 9 2023,https://www.todocanada.ca/wp-content/uploads/3c-250x165.jpg
The Fraser Valley Winery Tour,https://www.todocanada.ca/city/vancouver/event/the-fraser-valley-winery-tour/,Canada Place 999 Canada Pl Vancouver,Price: $174.46 ,January 9 2022 To January 9 2023,https://www.todocanada.ca/wp-content/uploads/13-250x165.jpg
A Wok Around Chinatown: Culinary and Cultural Walking Tour Led by a Chef,https://www.todocanada.ca/city/vancouver/event/a-wok-around-chinatown-culinary-and-cultural-walking-tour-led-by-a-chef/,Dr. Sun Yat-Sen Classical Chinese Garden 578 Carrall St Vancouver,Price:  $106.42 to $113.52 ,January 1 2022 To January 9 2023,https://www.todocanada.ca/wp-content/uploads/22-250x165.jpg
Gastown Historic Walking Food Tour,https://www.todocanada.ca/city/vancouver/event/gastown-historic-walking-food-tour/,Starbucks inside Waterfront Station 601 West Cordova St Vancouver,Price: $103.95 ,January 1 2022 To December 31 2022,https://www.todocanada.ca/wp-content/uploads/49-250x165.jpg
